X,Y,COLOR
24,84,0
48,79,0
99,69,1
20,19,0
44,31,0
8,8,1
22,17,0
42,2,1
48,30,0
21,46,0
79,40,0
10,38,1
13,68,1
55,22,0
49,59,0
76,57,0
2,2,1
48,43,0
12,16,1
71,26,0
25,37,0
24,25,0
73,44,0
24,76,0
8,30,1
50,14,1
7,23,1
43,81,0
2,68,1
79,10,1
62,40,0
20,37,0
52,52,0
96,42,1
46,11,1
25,55,0
24,28,0
25,40,0
87,87,1
95,73,1
89,83,1
66,58,0
68,75,0
21,6,1
79,0,1
4,84,1
24,87,1
85,5,1
62,74,0
52,37,0
1,35,1
97,28,1
40,54,0
84,65,0
39,32,0
76,40,0
45,20,0
86,79,1
72,43,0
9,22,1
29,97,1
8,9,1
33,27,0
21,30,0
54,61,0
90,8,1
65,82,0
56,94,1
45,83,0
41,37,0
42,42,0
3,52,1
47,87,1
33,63,0
86,25,1
53,94,1
1,72,1
17,89,1
60,80,0
80,70,0
51,32,0
62,29,0
9,20,1
45,40,0
89,76,1
89,6,1
59,3,1
73,46,0
25,9,1
73,65,0
76,50,0
42,69,0
31,6,1
61,21,0
2,97,1
63,68,0
49,45,0
76,62,0
18,5,1
87,45,1
62,65,0
16,95,1
70,44,0
60,61,0
9,94,1
66,62,0
94,4,1
41,38,0
77,68,0
24,2,1
27,41,0
72,98,1
9,0,1
82,44,0
24,7,1
30,82,0
56,2,1
15,75,1
86,26,1
71,69,0
76,27,0
2,17,1
36,76,0
51,74,0
90,75,1
93,70,1
13,95,1
8,53,1
39,50,0
41,95,1
54,82,0
80,3,1
73,83,0
33,12,1
62,54,0
59,6,1
6,11,1
97,16,1
33,66,0
53,66,0
97,11,1
80,11,1
78,31,0
2,58,1
54,7,1
7,8,1
3,6,1
56,77,0
67,91,1
17,31,0
60,92,1
32,38,0
63,78,0
57,55,0
79,79,0
19,6,1
0,92,1
45,11,1
79,31,0
12,39,1
21,54,0
45,82,0
98,74,1
94,46,1
33,50,0
93,34,1
97,61,1
62,61,0
61,12,1
53,58,0
29,73,0
21,32,0
99,70,1
67,80,0
60,75,0
84,26,0
78,80,0
12,81,1
8,28,1
37,59,0
40,65,0
14,90,1
89,95,1
86,28,1
10,62,1
37,81,0
41,37,0
51,11,1
40,61,0
45,11,1
70,18,0
21,65,0
84,5,1
99,4,1
75,88,1
21,96,1
87,95,1
84,62,0
31,89,1
75,0,1
34,60,0
19,92,1
73,12,1
71,72,0
85,52,1
25,86,1
74,22,0
36,63,0
83,13,1
60,14,1
87,81,1
83,46,0
6,33,1
77,3,1
4,44,1
61,13,1
70,74,0
49,74,0
62,45,0
47,50,0
93,6,1
47,38,0
99,74,1
74,10,1
25,19,0
77,19,0
27,77,0
9,6,1
1,74,1
13,43,1
70,84,0
8,9,1
14,46,1
13,82,1
45,73,0
16,88,1
33,25,0
27,15,1
54,80,0
44,41,0
45,20,0
50,29,0
96,43,1
38,52,0
28,34,0
67,87,1
27,82,0
12,77,1
43,5,1
94,43,1
73,32,0
0,71,1
27,77,0
72,95,1
72,28,0
11,10,1
16,11,1
20,84,0
38,27,0
19,62,0
50,94,1
50,17,0
83,72,0
18,88,1
23,13,1
64,63,0
81,47,0
59,2,1
39,85,1
85,48,1
56,45,0
70,4,1
49,1,1
45,50,0
8,62,1
5,23,1
66,98,1
1,53,1
57,90,1
41,47,0
29,55,0
95,18,1
72,55,0
60,72,0
25,69,0
74,12,1
80,97,1
94,9,1
2,23,1
86,97,1
31,24,0
94,80,1
65,51,0
79,31,0
4,43,1
18,64,0
91,29,1
68,86,1
53,86,1
41,98,1
98,43,1
79,79,0
29,74,0
19,48,0
12,37,1
43,23,0
20,62,0
61,75,0
26,30,0
7,24,1
91,73,1
37,80,0
68,89,1
97,18,1
16,58,0
68,90,1
48,76,0
3,50,1
28,53,0
31,63,0
25,28,0
11,3,1
54,59,0
94,19,1
72,20,0
87,93,1
4,51,1
62,90,1
13,78,1
23,74,0
96,24,1
58,3,1
18,17,0
1,78,1
21,8,1
7,51,1
16,63,0
21,57,0
3,7,1
90,13,1
92,24,1
64,9,1
72,69,0
56,17,0
9,44,1
98,77,1
1,17,1
41,19,0
98,51,1
70,37,0
90,62,1
75,40,0
44,71,0
23,3,1
56,11,1
22,61,0
59,5,1
3,20,1
30,41,0
79,43,0
28,69,0
17,73,0
63,52,0
74,41,0
0,59,1
73,54,0
37,51,0
10,69,1
41,87,1
43,57,0
97,76,1
71,13,1
49,69,0
18,68,0
9,95,1
87,92,1
67,21,0
65,31,0
10,80,1
56,89,1
18,36,0
6,32,1
31,9,1
86,51,1
56,2,1
10,78,1
29,6,1
33,0,1
48,91,1
18,20,0
11,59,1
80,86,1
33,55,0
59,14,1
25,52,0
55,20,0
45,71,0
48,4,1
33,66,0
51,88,1
4,48,1
20,23,0
28,87,1
71,23,0
32,53,0
65,87,1
36,54,0
50,70,0
63,15,1
8,20,1
52,45,0
40,24,0
94,37,1
30,95,1
60,41,0
63,59,0
97,69,1
9,21,1
58,19,0
6,59,1
32,46,0
47,41,0
26,16,0
84,76,0
81,68,0
73,25,0
19,97,1
20,33,0
23,54,0
80,16,0
94,25,1
56,46,0
31,16,0
17,46,0
70,94,1
77,85,1
13,13,1
61,10,1
95,34,1
41,90,1
56,15,1
49,61,0
62,58,0
32,1,1
66,67,0
20,28,0
35,29,0
12,14,1
30,39,0
26,60,0
98,48,1
25,34,0
20,81,0
12,92,1
85,79,1
47,91,1
53,74,0
31,59,0
81,73,0
11,60,1
56,10,1
68,30,0
21,2,1
9,35,1
84,49,0
88,83,1
26,28,0
70,89,1
32,23,0
33,9,1
87,23,1
57,65,0
19,95,1
11,52,1
83,64,0
7,92,1
58,36,0
98,35,1
24,3,1
4,19,1
31,43,0
24,82,0
8,17,1
11,10,1
19,8,1
13,93,1
3,47,1
38,17,0
9,44,1
85,47,1
58,29,0
15,22,1
11,70,1
70,35,0
42,58,0
37,29,0
55,47,0
87,21,1
74,81,0
28,23,0
92,79,1
40,71,0
27,49,0
29,81,0
98,42,1
97,6,1
41,93,1
15,61,1
38,82,0
26,41,0
77,7,1
89,46,1
52,30,0
74,58,0
95,27,1
53,39,0
49,63,0
46,24,0
6,81,1
98,43,1
52,27,0
61,55,0
62,23,0
30,35,0
59,64,0
75,91,1
70,42,0
72,99,1
29,51,0
61,71,0
96,60,1
83,45,0
48,79,0
4,75,1
26,59,0
82,79,0
86,86,1
55,81,0
25,52,0
87,77,1
67,56,0
58,13,1
91,87,1
29,54,0
42,27,0
2,7,1
81,85,1
30,76,0
23,55,0
81,79,0
51,84,0
53,88,1
69,4,1
15,94,1
49,98,1
77,76,0
49,24,0
4,28,1
42,24,0
99,64,1
28,47,0
60,1,1
16,55,0
61,72,0
87,4,1
97,10,1
34,4,1
98,76,1
27,10,1
93,60,1
91,91,1
80,13,1
59,66,0
23,31,0
13,66,1
31,49,0
2,86,1
50,98,1
43,46,0
40,33,0
22,59,0
51,53,0
73,20,0
62,10,1
5,97,1
84,47,0
77,0,1
45,36,0
2,70,1
97,52,1
93,88,1
45,44,0
98,29,1
19,61,0
22,95,1
11,81,1
31,10,1
39,74,0
34,93,1
5,83,1
39,18,0
75,2,1
71,85,1
75,37,0
0,34,1
0,38,1
46,78,0
5,27,1
96,30,1
65,26,0
94,62,1
23,53,0
75,32,0
79,78,0
46,35,0
70,26,0
83,88,1
6,69,1
29,28,0
95,89,1
85,54,1
69,61,0
67,14,1
49,84,0
71,51,0
48,83,0
40,52,0
36,41,0
86,88,1
28,73,0
13,26,1
93,41,1
61,22,0
74,46,0
67,61,0
89,88,1
24,83,0
54,18,0
24,79,0
10,39,1
22,49,0
5,52,1
2,55,1
85,87,1
3,30,1
35,75,0
35,18,0
88,32,1
4,3,1
20,19,0
59,38,0
4,12,1
75,66,0
56,22,0
56,80,0
60,33,0
34,22,0
25,36,0
97,35,1
40,87,1
36,21,0
34,20,0
62,2,1
0,71,1
51,91,1
94,17,1
9,17,1
53,79,0
6,50,1
10,32,1
70,29,0
91,5,1
70,56,0
2,43,1
81,35,0
70,75,0
50,19,0
21,98,1
78,19,0
0,21,1
66,92,1
87,47,1
97,30,1
64,18,0
21,35,0
57,66,0
60,38,0
70,9,1
81,72,0
26,94,1
6,39,1
19,63,0
17,87,1
46,4,1
40,56,0
72,34,0
73,99,1
67,80,0
98,5,1
38,96,1
60,69,0
73,51,0
58,39,0
12,48,1
17,86,1
34,58,0
88,11,1
87,15,1
46,76,0
20,31,0
60,68,0
14,73,1
0,97,1
93,47,1
43,39,0
34,84,0
27,28,0
60,34,0
87,13,1
38,72,0
54,41,0
20,53,0
23,46,0
75,83,0
11,11,1
89,80,1
99,31,1
43,19,0
81,41,0
23,92,1
24,40,0
82,87,1
92,85,1
72,47,0
7,99,1
16,21,0
89,9,1
4,67,1
27,43,0
40,9,1
71,80,0
25,96,1
25,19,0
39,45,0
82,23,0
9,93,1
15,96,1
73,3,1
87,42,1
56,66,0
11,40,1
44,45,0
43,33,0
91,95,1
86,19,1
71,16,0
72,5,1
70,54,0
98,77,1
63,6,1
87,48,1
99,44,1
47,63,0
91,14,1
61,56,0
73,26,0
62,6,1
23,91,1
12,72,1
37,43,0
73,69,0
4,13,1
25,23,0
19,35,0
99,29,1
4,50,1
49,84,0
98,13,1
1,35,1
91,76,1
79,80,0
79,23,0
35,53,0
66,10,1
15,74,1
0,72,1
84,42,0
60,95,1
59,45,0
43,58,0
0,79,1
85,9,1
20,15,1
58,82,0
21,96,1
23,32,0
48,49,0
60,13,1
63,18,0
42,11,1
46,24,0
11,47,1
63,30,0
45,80,0
69,26,0
25,88,1
26,12,1
67,16,0
68,75,0
55,93,1
48,52,0
73,67,0
16,61,0
68,79,0
67,44,0
66,35,0
12,43,1
47,26,0
24,88,1
77,57,0
18,73,0
72,32,0
13,92,1
37,99,1
88,48,1
47,41,0
97,82,1
26,43,0
20,75,0
39,90,1
56,54,0
96,38,1
32,70,0
17,85,1
92,80,1
18,19,0
13,23,1
71,71,0
20,90,1
52,34,0
64,97,1
24,18,0
66,57,0
0,34,1
99,24,1
90,63,1
17,39,0
44,60,0
86,72,1
13,70,1
84,34,0
44,41,0
38,16,0
27,22,0
90,74,1
92,41,1
32,31,0
80,62,0
75,70,0
86,63,1
58,49,0
57,45,0
13,70,1
98,1,1
39,26,0
48,69,0
1,3,1
9,41,1
82,84,0
93,16,1
27,52,0
11,91,1
97,92,1
91,2,1
23,42,0
25,4,1
69,42,0
41,86,1
98,38,1
88,0,1
78,21,0
54,24,0
86,13,1
71,51,0
9,76,1
20,70,0
46,27,0
2,28,1
91,93,1
46,4,1
19,72,0
96,54,1
41,53,0
51,55,0
14,35,1
37,14,1
66,55,0
88,42,1
7,3,1
5,22,1
96,11,1
20,53,0
26,96,1
54,32,0
1,33,1
77,14,1
69,99,1
82,52,0
40,77,0
57,18,0
2,92,1
92,67,1
96,87,1
97,34,1
80,97,1
36,75,0
28,77,0
7,39,1
77,20,0
17,21,0
4,44,1
99,3,1
54,15,1
95,25,1
54,26,0
44,48,0
58,41,0
63,90,1
17,81,0
10,22,1
68,72,0
65,55,0
60,48,0
1,43,1
66,91,1
72,98,1
17,80,0
20,28,0
31,40,0
10,20,1
98,84,1
65,43,0
41,5,1
76,34,0
8,96,1
94,11,1
93,23,1
74,83,0
24,49,0
53,85,1
0,33,1
50,10,1
14,91,1
1,34,1
25,39,0
17,1,1
53,49,0
79,30,0
5,29,1
85,68,1
14,80,1
46,58,0
43,26,0
40,92,1
92,35,1
34,91,1
6,41,1
73,93,1
52,84,0
85,76,1
4,62,1
86,93,1
22,35,0
52,17,0
80,27,0
97,31,1
57,26,0
93,74,1
58,97,1
52,90,1
19,96,1
30,7,1
