X,Y,COLOR
55,75,0
24,67,0
34,5,1
17,67,0
47,78,0
63,82,0
61,87,1
71,70,0
78,93,1
48,95,1
53,19,0
41,14,1
63,37,0
19,7,1
81,27,0
82,89,1
85,31,1
98,36,1
90,83,1
87,8,1
23,39,0
64,29,0
56,53,0
84,42,0
52,20,0
8,15,1
54,83,0
29,59,0
24,28,0
88,37,1
30,15,1
95,54,1
49,60,0
84,90,1
16,86,1
26,41,0
96,10,1
59,94,1
20,58,0
46,84,0
30,53,0
66,66,0
76,49,0
99,17,1
98,16,1
98,79,1
16,21,0
79,77,0
31,18,0
53,71,0
78,22,0
79,44,0
13,78,1
85,32,1
2,30,1
43,54,0
10,49,1
7,73,1
36,37,0
37,88,1
90,77,1
64,33,0
83,49,0
3,95,1
86,83,1
15,91,1
9,51,1
43,75,0
84,2,1
89,77,1
21,94,1
51,16,0
49,97,1
26,48,0
55,21,0
89,66,1
45,90,1
66,51,0
10,30,1
0,36,1
6,10,1
2,88,1
52,21,0
15,15,1
17,63,0
83,11,1
35,39,0
14,58,1
59,27,0
56,13,1
88,49,1
28,45,0
55,29,0
87,23,1
15,91,1
38,23,0
4,77,1
73,77,0
36,53,0
51,92,1
92,33,1
2,15,1
87,59,1
63,80,0
14,0,1
10,37,1
8,65,1
83,56,0
86,72,1
18,68,0
97,5,1
55,76,0
59,82,0
75,19,0
39,94,1
3,62,1
0,47,1
63,5,1
44,0,1
8,28,1
62,50,0
87,9,1
82,48,0
31,0,1
42,49,0
24,21,0
49,38,0
1,57,1
4,51,1
84,40,0
39,75,0
32,15,1
35,89,1
66,15,1
14,81,1
94,28,1
87,80,1
68,19,0
79,98,1
49,57,0
68,80,0
90,56,1
15,61,1
23,97,1
80,52,0
59,52,0
74,49,0
62,11,1
64,65,0
90,31,1
52,24,0
83,58,0
63,54,0
36,71,0
91,75,1
49,53,0
24,0,1
91,10,1
87,9,1
47,97,1
53,11,1
54,67,0
53,20,0
98,59,1
68,79,0
50,84,0
87,26,1
96,80,1
85,53,1
11,8,1
84,22,0
12,14,1
29,27,0
62,16,0
80,57,0
16,73,0
76,39,0
67,63,0
73,74,0
66,43,0
29,8,1
93,52,1
38,25,0
18,60,0
72,71,0
21,65,0
17,1,1
77,82,0
75,88,1
2,5,1
2,92,1
59,42,0
55,31,0
