X,Y,TAM1,TAM2,TAM3,TAM4,TAM5,COLOR
7,70,26,60,84,93,99,1
84,90,3,67,11,50,71,1
47,82,50,62,95,98,75,0
66,73,63,52,69,39,83,0
98,15,81,47,68,39,8,1
20,34,17,45,1,87,78,0
7,47,11,63,38,55,65,1
53,76,32,77,72,10,93,0
42,60,17,23,90,70,68,0
87,66,75,85,74,83,96,1
85,26,72,34,24,96,73,1
10,9,5,66,67,25,69,1
84,43,6,4,89,78,74,0
50,85,19,28,72,57,28,1
94,97,25,4,18,81,60,1
45,75,10,41,97,3,64,0
63,81,51,44,27,69,26,0
91,11,81,33,10,39,69,1
3,1,13,62,92,19,52,1
81,18,10,19,64,8,58,0
20,33,93,63,67,78,92,0
41,35,19,14,13,0,64,0
29,75,64,30,86,87,1,0
62,95,53,91,97,51,10,1
30,40,28,8,2,56,83,0
49,31,71,28,4,13,11,0
47,84,1,39,32,3,52,0
73,57,61,73,20,99,3,0
75,29,44,84,30,33,34,0
94,2,54,45,67,93,14,1
61,39,14,42,81,3,92,0
41,61,96,34,68,34,50,0
59,94,78,85,85,24,93,1
1,5,68,19,52,74,2,1
66,48,16,63,80,43,11,0
52,24,86,54,77,79,2,0
5,91,79,77,7,41,48,1
55,24,2,82,42,45,5,0
83,68,89,28,38,64,23,0
23,97,79,35,56,10,24,1
4,16,9,60,63,60,50,1
87,66,15,32,18,3,66,1
52,76,17,52,57,64,33,0
60,74,78,54,91,10,78,0
10,11,90,95,84,33,22,1
21,63,27,26,33,56,27,0
13,77,7,91,44,82,12,1
71,10,1,27,17,38,12,1
22,97,61,73,64,46,13,1
34,32,21,64,90,44,37,0
60,46,68,45,70,60,32,0
53,14,76,99,84,75,76,1
74,30,59,32,23,26,9,0
56,0,12,77,42,92,34,1
8,28,14,65,26,81,86,1
81,39,18,95,17,24,42,0
6,85,39,37,92,99,29,1
56,81,0,89,14,49,88,0
19,67,62,0,29,66,43,0
57,71,27,95,54,29,81,0
81,51,20,39,77,30,69,0
68,4,26,19,3,32,99,1
58,32,1,57,69,13,47,0
94,97,70,90,54,35,55,1
89,64,82,27,86,45,52,1
30,15,86,41,71,46,91,1
93,18,9,17,10,82,43,1
85,90,24,83,43,50,69,1
30,77,35,30,91,64,83,0
50,20,19,0,91,56,36,0
6,88,13,57,53,11,6,1
78,71,62,54,32,46,50,0
17,55,9,95,80,92,57,0
57,59,96,85,62,39,92,0
21,95,51,36,75,92,66,1
75,30,25,32,14,98,74,0
1,45,23,41,14,93,22,1
96,12,63,30,10,51,29,1
78,90,25,78,77,94,62,1
46,29,16,97,36,5,66,0
25,74,63,97,4,22,2,0
86,21,57,37,5,87,69,1
31,38,12,37,57,23,47,0
63,99,35,43,21,77,35,1
84,11,73,14,44,69,64,1
11,38,39,89,2,39,8,1
29,63,78,60,21,49,53,0
98,79,19,20,8,42,8,1
25,79,43,30,63,86,70,0
49,70,52,79,57,36,12,0
63,68,39,87,16,23,13,0
64,88,44,35,89,10,0,1
16,17,75,69,50,83,99,0
92,86,90,49,98,6,17,1
91,72,50,43,34,60,89,1
33,68,89,31,98,98,32,0
84,53,73,83,90,7,91,0
91,3,17,29,1,30,95,1
68,3,77,17,79,56,80,1
94,83,37,15,57,3,77,1
54,37,3,98,36,54,70,0
55,59,53,35,83,19,67,0
63,68,95,55,15,62,6,0
70,46,38,74,62,53,68,0
58,22,49,17,85,3,54,0
96,33,29,91,92,21,28,1
62,2,0,10,81,29,67,1
37,20,76,65,85,97,2,0
40,65,93,79,6,34,65,0
31,93,89,20,13,19,28,1
40,91,74,5,70,8,3,1
31,40,86,19,46,4,52,0
24,32,67,2,72,16,54,0
8,95,35,88,79,76,51,1
90,68,77,95,67,29,59,1
89,79,30,88,19,98,53,1
49,61,83,82,63,55,68,0
49,97,43,1,43,94,54,1
20,22,13,41,14,94,87,0
1,11,73,72,69,44,53,1
84,57,88,23,20,62,0,0
45,41,48,66,67,72,91,0
93,34,25,8,61,37,0,1
40,60,9,57,80,85,27,0
25,40,89,44,85,26,70,0
10,52,66,96,42,76,83,1
72,40,52,43,86,65,51,0
76,61,0,35,4,33,96,0
13,96,5,0,88,17,1,1
29,32,28,63,89,65,22,0
86,94,92,54,80,9,21,1
37,21,59,32,94,17,5,0
9,77,82,5,16,10,75,1
20,73,11,6,73,57,60,0
27,19,82,92,34,10,26,0
17,18,92,65,54,34,59,0
96,40,30,55,10,29,1,1
62,43,68,46,62,22,36,0
99,81,97,48,70,54,0,1
92,50,74,81,85,89,60,1
25,34,91,22,44,6,85,0
41,0,29,63,61,5,94,1
83,73,3,43,35,9,69,0
80,62,50,31,97,39,20,0
49,82,21,42,77,68,9,0
56,38,75,79,37,37,31,0
45,52,58,29,6,4,86,0
8,69,31,50,84,67,95,1
63,40,8,8,35,97,84,0
32,34,17,18,34,37,35,0
90,38,1,73,75,38,27,1
6,3,71,85,57,27,15,1
67,57,83,94,36,78,14,0
50,90,3,76,55,54,22,1
55,10,94,97,0,98,62,1
43,8,14,80,95,60,44,1
82,21,73,65,18,9,88,0
41,1,25,91,21,85,5,1
5,38,45,9,94,67,20,1
74,26,90,27,90,96,70,0
92,56,41,9,41,58,14,1
5,48,17,92,7,41,53,1
68,67,19,12,11,68,95,0
59,5,27,65,51,37,48,1
9,53,74,37,56,65,66,1
43,37,62,30,15,91,19,0
5,11,67,69,43,74,31,1
75,47,80,23,43,26,33,0
25,25,7,42,33,96,70,0
56,55,8,57,28,75,40,0
63,66,43,23,29,47,46,0
59,34,88,0,72,20,70,0
22,83,3,8,10,48,53,0
91,42,66,38,98,8,87,1
40,24,61,23,40,82,44,0
91,72,82,11,91,24,8,1
12,62,62,22,97,99,29,1
27,53,38,64,4,33,88,0
98,60,4,36,91,86,71,1
14,14,18,35,29,89,14,1
73,77,10,82,13,29,40,0
88,29,31,3,5,84,29,1
1,32,51,21,57,74,83,1
88,70,85,51,23,43,32,1
37,70,95,17,60,73,42,0
77,99,71,31,57,54,66,1
0,78,72,11,41,73,37,1
36,45,62,2,43,98,62,0
67,98,29,73,20,65,41,1
75,66,25,77,77,95,31,0
14,36,38,21,62,98,6,1
15,87,44,86,23,33,39,1
28,55,14,38,97,49,53,0
55,80,21,88,12,27,60,0
9,11,66,31,66,12,58,1
53,33,71,85,63,43,16,0
15,80,77,52,52,39,33,1
80,61,52,43,50,45,7,0
88,46,94,37,86,65,30,1
69,89,99,15,98,74,88,1
64,8,79,40,54,91,42,1
80,48,72,77,17,54,62,0
77,6,18,65,3,81,14,1
78,94,97,74,97,68,43,1
68,3,55,47,44,90,5,1
16,68,70,69,90,50,67,0
48,7,81,22,80,72,28,1
65,80,28,60,5,76,31,0
33,72,14,82,91,64,74,0
41,69,79,12,35,74,76,0
10,44,51,44,91,85,67,1
84,58,63,71,79,91,85,0
34,15,82,78,32,42,26,1
82,45,37,87,34,14,4,0
62,64,62,93,38,30,23,0
5,12,13,27,10,50,0,1
23,81,47,61,61,74,52,0
38,34,73,69,97,34,28,0
