objectno;objectuid;objectname;year;month;day;externalid;drivingevents_avg_severity;drivingevents_braking_avg_severity;drivingevents_braking_count;drivingevents_count;drivingevents_forward_avg_severity;drivingevents_forward_count;drivingevents_steering_avg_severity;drivingevents_steering_count;ecostats_co2emission;ecostats_fuelusage;ecostats_idletime;ecostats_overrevvingtime;ecostats_wastedfuel;optidrive_indicator;optidrive_indicator_driving;optidrive_indicator_fuel;optidrive_indicator_idling;optidrive_indicator_speeding;orders_cancelled;orders_completed;orders_ontime;speedingevents_avg_violation;speedingevents_count;speedingevents_speedingtime;tripstats_count;tripstats_drivingtime;tripstats_mileage;tripstats_mileagebusiness;tripstats_mileageprivate;tripstats_usagetime;idVehiculo
4001;1-83646-6667686335;GEESINK IVECO ML160;2016;9;1;;1.592;1.6;5;26;;;1.59;21;68900;26000;6903;1972;5500;0.27;0.266;0.0;0.0;0.519;;;;0.059;2;230;6;3590;35405;35405;0;64168;1-83646-6667686335;
4001;1-83646-6667686335;GEESINK IVECO ML160;2016;9;2;;1.748;2.233;3;33;;;1.7;30;194775;73500;2571;7544;1000;0.43;0.267;0.463;0.097;0.373;;;;0.069;15;2033;10;11724;161730;161730;0;66936;1-83646-6667686335;
4001;1-83646-6667686335;GEESINK IVECO ML160;2016;9;12;;;;;;;;;;29150;11000;1292;769;1000;0.59;1.0;0.155;0.0;1.0;;;;;;;4;2278;21690;21690;0;9501;1-83646-6667686335;
4001;1-83646-6667686335;GEESINK IVECO ML160;2016;9;13;;;;;;;;;;1325;500;;;;0.867;1.0;0.0;1.0;1.0;;;;;;;;;;;;;1-83646-6667686335;
4001;1-83646-6667686335;GEESINK IVECO ML160;2016;9;14;;1.762;2.0;26;58;;;1.569;32;349800;132000;;13608;;0.6;0.274;0.704;1.0;0.434;;;;0.063;25;2810;7;24413;317820;317820;0;84686;1-83646-6667686335;
4001;1-83646-6667686335;GEESINK IVECO ML160;2016;9;15;;;;;;;;;;17225;6500;6940;88;4500;0.658;1.0;0.0;0.0;1.0;;;;;;;5;569;3265;3265;0;63386;1-83646-6667686335;
4001;1-83646-6667686335;GEESINK IVECO ML160;2016;9;16;;;;;;;;;;21200;8000;847;777;500;0.543;1.0;1.0;0.0;0.451;;;;0.051;3;200;2;1597;24410;24410;0;4549;1-83646-6667686335;
4001;1-83646-6667686335;GEESINK IVECO ML160;2016;9;17;;1.785;2.075;4;13;;;1.656;9;323300;122000;522;12388;;0.63;0.41;0.994;0.611;0.502;;;;0.05;23;2332;5;27221;332025;332025;0;43553;1-83646-6667686335;
4001;1-83646-6667686335;GEESINK IVECO ML160;2016;9;18;;1.256;1.15;2;9;;;1.286;7;300775;113500;;10997;;0.616;0.573;0.806;1.0;0.458;;;;0.053;22;2697;4;23713;285285;285285;0;38381;1-83646-6667686335;
4001;1-83646-6667686335;GEESINK IVECO ML160;2016;9;19;;1.594;1.758;12;50;;;1.542;38;389550;147000;892;15634;1000;0.524;0.324;0.735;0.477;0.447;;;;0.052;31;3496;14;27224;358920;358920;0;85404;1-83646-6667686335;
4001;1-83646-6667686335;GEESINK IVECO ML160;2016;9;20;;1.758;2.038;8;37;1.9;1;1.676;29;339200;128000;1996;12604;1500;0.471;0.283;0.711;0.251;0.425;;;;0.062;27;2943;5;23227;309480;309480;0;80930;1-83646-6667686335;
4001;1-83646-6667686335;GEESINK IVECO ML160;2016;9;21;;1.587;1.811;9;53;;;1.541;44;372325;140500;322;15441;;0.532;0.318;0.719;0.7;0.399;;;;0.056;34;4408;6;24896;340775;340775;0;76565;1-83646-6667686335;
4001;1-83646-6667686335;GEESINK IVECO ML160;2016;9;22;;3.0;;;1;;;3.0;1;14575;5500;3148;278;2000;0.337;0.182;0.0;0.0;1.0;;;;;;;3;799;5860;5860;0;47080;1-83646-6667686335;
4001;1-83646-6667686335;GEESINK IVECO ML160;2016;9;23;;1.417;1.336;11;70;;;1.432;59;373650;141000;2150;15207;1500;0.484;0.345;0.683;0.25;0.397;;;;0.057;30;4342;5;24814;337150;337150;0;52018;1-83646-6667686335;
4001;1-83646-6667686335;GEESINK IVECO ML160;2016;9;24;;1.606;1.525;8;52;;;1.62;44;477000;180000;3126;19437;2500;0.504;0.33;0.871;0.241;0.406;;;;0.056;46;5805;9;34510;464285;464285;0;70681;1-83646-6667686335;
4001;1-83646-6667686335;GEESINK IVECO ML160;2016;9;25;;1.937;1.55;2;19;;;1.982;17;295475;111500;;10643;;0.593;0.329;0.862;1.0;0.462;;;;0.053;19;2615;5;23572;286790;286790;0;37698;1-83646-6667686335;
4001;1-83646-6667686335;GEESINK IVECO ML160;2016;9;26;;1.553;1.746;13;60;;;1.5;47;337875;127500;3035;13057;2000;0.432;0.311;0.588;0.169;0.413;;;;0.061;27;3232;9;22552;294120;294120;0;85063;1-83646-6667686335;
4001;1-83646-6667686335;GEESINK IVECO ML160;2016;9;27;;1.582;1.563;8;45;;;1.586;37;360400;136000;301;15083;;0.538;0.327;0.774;0.714;0.394;;;;0.058;32;4398;5;24836;337100;337100;0;53588;1-83646-6667686335;
4001;1-83646-6667686335;GEESINK IVECO ML160;2016;9;28;;1.643;2.078;9;44;;;1.531;35;364375;137500;1354;14721;1000;0.492;0.318;0.745;0.354;0.407;;;;0.052;31;4500;5;25057;337050;337050;0;49324;1-83646-6667686335;
4001;1-83646-6667686335;GEESINK IVECO ML160;2016;9;29;;1.613;2.05;4;30;;;1.546;26;359075;135500;;14900;;0.604;0.353;0.787;1.0;0.4;;;;0.058;36;4228;4;25303;337730;337730;0;43371;1-83646-6667686335;
4001;1-83646-6667686335;GEESINK IVECO ML160;2016;9;30;;1.656;2.071;7;18;;;1.391;11;329925;124500;;12708;;0.651;0.398;0.947;1.0;0.475;;;;0.051;27;2790;5;26768;332160;332160;0;79327;1-83646-6667686335;
4001;1-83646-6667686335;GEESINK IVECO ML160;2016;8;1;;1.578;1.8;7;23;;;1.481;16;467725;176500;2647;18528;1000;0.496;0.416;0.723;0.276;0.438;;;;0.066;32;3650;8;34675;430190;430190;0;64797;1-83646-6667686335;
4001;1-83646-6667686335;GEESINK IVECO ML160;2016;8;2;;1.567;1.9;3;6;;;1.233;3;315350;119000;;12906;;0.605;0.53;0.724;1.0;0.42;;;;0.059;27;3120;4;22571;290405;290405;0;42887;1-83646-6667686335;
4001;1-83646-6667686335;GEESINK IVECO ML160;2016;8;3;;1.325;1.6;2;4;;;1.05;2;331250;125000;1286;12904;1500;0.527;0.644;0.601;0.341;0.401;;;;0.063;26;3400;5;22560;290630;290630;0;70356;1-83646-6667686335;
4001;1-83646-6667686335;GEESINK IVECO ML160;2016;8;4;;1.5;1.438;8;42;;;1.515;34;458450;173000;2034;18935;1000;0.501;0.376;0.794;0.325;0.408;;;;0.068;35;4346;13;33304;433765;433765;0;68999;1-83646-6667686335;
4001;1-83646-6667686335;GEESINK IVECO ML160;2016;8;5;;1.438;1.95;2;8;;;1.267;6;312700;118000;;12851;;0.613;0.525;0.746;1.0;0.401;;;;0.07;23;3030;5;22743;290345;290345;0;42763;1-83646-6667686335;
4001;1-83646-6667686335;GEESINK IVECO ML160;2016;8;6;;1.367;;;9;;;1.367;9;300775;113500;;12612;;0.663;0.53;0.855;1.0;0.394;;;;0.067;29;3390;6;22447;291865;291865;0;52675;1-83646-6667686335;
4001;1-83646-6667686335;GEESINK IVECO ML160;2016;8;7;;1.843;1.85;2;7;;;1.84;5;315350;119000;;11438;;0.585;0.46;0.739;1.0;0.445;;;;0.062;27;2570;4;23866;292165;292165;0;86757;1-83646-6667686335;
4001;1-83646-6667686335;GEESINK IVECO ML160;2016;8;8;;;;;;;;;;3975;1500;342;191;;0.646;1.0;0.316;0.045;1.0;;;;;;;3;1020;3030;3030;0;59813;1-83646-6667686335;
4001;1-83646-6667686335;GEESINK IVECO ML160;2016;8;12;;;;;;;;;;0;0;;2;;1.0;1.0;1.0;1.0;1.0;;;;;;;1;62;15;15;0;479;1-83646-6667686335;
4001;1-83646-6667686335;GEESINK IVECO ML160;2016;8;25;;;;;;;;;;1325;500;;;;1.0;1.0;1.0;1.0;1.0;;;;;;;;;;;;;1-83646-6667686335;
4001;1-83646-6667686335;GEESINK IVECO ML160;2016;8;26;;;;;;;;;;33125;12500;6381;1022;4000;0.471;1.0;0.0;0.0;0.488;;;;0.047;1;190;4;1899;17425;17425;0;15680;1-83646-6667686335;
4001;1-83646-6667686335;GEESINK IVECO ML160;2016;8;27;;1.6;1.2;1;7;;;1.667;6;47700;18000;797;1463;1000;0.248;0.306;0.0;0.063;0.465;;;;0.053;2;300;2;2778;28550;28550;0;43721;1-83646-6667686335;
4001;1-83646-6667686335;GEESINK IVECO ML160;2016;8;29;;2.9;;;1;;;2.9;1;7950;3000;;253;;0.536;0.149;0.0;1.0;1.0;;;;;;;2;462;4130;4130;0;1493;1-83646-6667686335;
4001;1-83646-6667686335;GEESINK IVECO ML160;2016;8;30;;1.792;1.7;3;13;;;1.82;10;49025;18500;1088;1768;500;0.393;0.239;0.352;0.038;0.414;;;;0.071;3;366;4;3070;39230;39230;0;36060;1-83646-6667686335;
